"publicid","name","street","zip","country","businessimageurl","canJoin"
"742e070e-da1d-4183-9733-af86e93de2d6","3d fizio","","","Slovenia","'",false
"d675b996-55c1-4ec9-a4cd-14767abd4d88","AA Room","Kidričeva ulica 3","3000","Slovenia","5c9fd2d2-f1a8-4221-b95d-d8a560804dab.jpg",true
"a2cd6d8d-551d-4a0a-ab12-7b24f95d107e","AB GYM","Cesta v Gorice 40","1000","Slovenia","'",true
"2bea3b28-b397-40b2-942c-b392ec13c369","ACTINIA d.o.o.","Mašera Spasičeva ulica 8","1000 Ljubljana","Slovenia","'",true
"b4c5d004-50b0-4330-a6f6-680a4fd28181","Actomy","Metelkova ulica 7B","1000 Ljubljana","Slovenia","'",true
"8b658c9e-5b50-484a-8db8-b97b944a08bf","Aja's salon","Ježev dol 22A","2319 Poljčane","Slovenia","29d42f62-0259-4eed-a129-110a94becc3d.jpg",true
"8c830b7b-d0af-4ad5-82d1-43e1f6489b25","Alfa Gym","Dunajska cesta 49","1000 Ljubljana","Slovenia","537655e6-d07e-4a04-bab7-bdde2e0a02b7.png",true
"fa0f43f7-ace0-49e3-bce4-49c992bf5438","ALLURE KOZMETIČNI STUDIO","","","Slovenia","52488af8-7ed4-4096-aa9b-ac3ac4a9b7d1.jpg",true
"8ed3212a-9865-45bb-9a65-0cda470b20d6","Andreja Style ","","","Slovenia","'",true
"53282467-0654-4c36-8cd1-e0d9555e0dbb","AS GREGA D.O.O.","","","Slovenia","'",true
"099b9e1b-65ed-4624-8b7e-dbcde75c9a48","AS'Fit","Log nad Škofjo Loko 32","4220 Škofja Loka","Slovenia","3a070f0e-1f48-42e0-b989-0d087ce7da79.jpg",true
"522339d5-5e5c-4dad-b17a-1d0f96bc1413","AuroraMorpho - Center zdravja","Panonska 7","2000 Maribor","Slovenia","de17f8bd-0218-4ced-889d-9b2ce34a2ccb.jpg",true
"b5280312-d717-4dcc-bf78-d53051a90563","Avto wow","","","Slovenia","'",true
"a67b3db4-89dc-470d-adae-942a3afdb3f5","Avtohiša Kranj","","","Slovenia","'",true
"f043428d-c1aa-477c-a66a-16ffa4ced903","B.RUSHED","Pot na Lisice 4","4260 Bled","Slovenia","'",true
"95bc77b3-f473-49d2-bff5-43a2ee991d4f","BALANCE - Center za nego obraza in telesa","","","Slovenia","cd830bfe-47cc-41b3-b82c-9e3aa4e542f9.png",true
"8975c9d2-bb6d-472d-9a22-c7c14ef037dc","Beauty by Oly","Kogojeva 2","1000 Ljubljana","Slovenia","'",true
"b0ba78f4-c985-4781-9d42-eb36fbaf2633","Beauty Corner Lea Mesec s.p.","Trg 2","1433 Radeče","Slovenia","1d5e7d62-7180-4e0d-9892-0280dbfea0be.jpg",true
"cd65093d-93ba-4f41-9dc8-facc24a889b3","Beauty Room Erika","Drenovec 35","Vinica","Slovenia","b62c87ec-7578-4af5-8ee3-e374daa4208b.jpg",true
"90ecd040-2a98-4a7e-98ce-1f3f6e8d9209","Beauty Studio DP, Dragana Panev s.p.","","","Slovenia","'",true
"1cc97373-d77d-48b8-9b42-e49a0bbeebd1","BELLAVIE  salon lepote","Brnčičeva ulica 13 (desna zunanja stran stavbe)","1231 Ljubljana - Črnuče","Slovenia","e2ae41cd-a1e7-45e5-b91b-b8a7412d449d.jpg",true
"a56050a5-5a75-4985-9f11-8be71a9be2ed","BIO-AKU-MED","","","Slovenia","'",true
"87b1cf31-3787-4de7-ab63-a9b13ec439d2","BLUM Lepotni studio","Kamniška cesta 29","Kamnik","Slovenia","'",true
"9a60d23b-0bbc-4267-95ae-452d81c4559e","Bodi v formi","","","Slovenia","cce2b7c8-4065-46be-b0ce-d3c33c91e7ea.png",true
"1a924bab-de6a-441a-8f4d-2988a3728166","Body zone","","","Slovenia","8de6dc1d-8d16-4c4f-bfdf-d423612faba0.png",true
"ba0921e0-2951-48f0-8df4-a36c6f6179a8","Butična lepotilnica","","","Slovenia","'",true
"39cc0984-c4f7-402d-8073-4aabb3b177f5","CATALEYA BEAUTY","Palmejeva ulica 14","1000 Ljubljana","Slovenia","110add13-c46b-4b5b-9641-2c5d81ef8dce.jpg",true
"eb58548d-a43a-4dfe-bb52-d7a4a162d822","čazim kurtic s.p.","","","Slovenia","'",true
"700aab1d-bf2d-48ba-9e3b-60e7a0b80e75","Center celote","","","Slovenia","'",true
