,Barva(neobvezno) ,Ime storitve,Opis storitve (neobvezno),Čas trajanja (min),"Cena (€, uporabi piko ne vejice)",Tagi,"Izvajalci (Nobvezno, Ločeni z vejico)",Time without client on the service (min)(neobvezno),Lasts (min) (neobvezno),,,Unique Tags,Unique Izvajalci
,,Keratinsko vihanje z barvanjem,,55,48,Trepalnice,Monika Vider,,,,,Laminacija obrvi,Monika Vider
,,Barvanje trepalnic,,15,15,Trepalnice,Monika Vider,,,,,Žensko oblikovanje obrvi,
,,Laminacija obrvi – Hd brows,,50,45,Laminacija obrvi,Monika Vider,,,,,Depilacija,
,,Oblikovanje obrvi,,30,18,Žensko oblikovanje obrvi,Monika Vider,,,,,Permanentno lakiranje,
,,Barvanje obrvi,,15,11,Žensko oblikovanje obrvi,Monika Vider,,,,,Pedikura,
,,"Paket 1: oblikovanje, barvanje",,30,26,Žensko oblikovanje obrvi,Monika Vider,,,,,Pedikura / permanentno lakiranje,
,,"Paket 2: oblikovanje, barvanje obrvi in trepalnic",,30,39,Žensko oblikovanje obrvi,Monika Vider,,,,,Brazzcare Pedikura,
,,Cele noge,,40,27,Depilacija,Monika Vider,,,,,Nohtna protetika,
,,Do kolen,,20,20,Depilacija,Monika Vider,,,,,Mezoterapija,
,,Bikini,,15,20,Depilacija,Monika Vider,,,,,Mikroneedling,
,,Bikini classic,,20,27,Depilacija,Monika Vider,,,,,Nega z naravno kozmetiko Trilogy,
,,Bikini all out,,35,30,Depilacija,Monika Vider,,,,,Matinata organska kozmetika,
,,Pazduhe,,10,12,Depilacija,Monika Vider,,,,,Make up,
,,Roke,,25,20,Depilacija,Monika Vider,,,,,Masaže,
,,Nad zadnjico,,5,10,Depilacija,Monika Vider,,,,,Ostali tretmaji,
,,Brčice,,5,10,Depilacija,Monika Vider,,,,,Special paketi Monnie,
,,Brada,,5,10,Depilacija,Monika Vider,,,,,Moško oblikoavnje obrvi,
,,Obraz,,15,20,Depilacija,Monika Vider,,,,,Moška nega obraza Trilogy,
,,Paket cele noge + bikini,,40,45,Depilacija,Monika Vider,,,,,Antiage program,
,,Paket cele noge + brazil classic,,45,52,Depilacija,Monika Vider,,,,,Moška depilacija Strip Wax – Klasičen vosek,
,,Paket cele noge + brazil all out,,50,55,Depilacija,Monika Vider,,,,,Moška depilacija Italwax – Hot wax        ,
,,Odstranjevanje permanentnega laka,,15,15,Permanentno lakiranje,Monika Vider,,,,,Moška manikira,
,,Permanentno lakiranje,,60,30,Permanentno lakiranje,Monika Vider,,,,,Moška pedikura,
,,Permanentno lakiranje z utrjevanjem,,50,35,Permanentno lakiranje,Monika Vider,,,,,,
,,Osnovna,,45,33,Pedikura,Monika Vider,,,,,,
,,Pedikura s klasičnim lakiranjem,,55,37,Pedikura,Monika Vider,,,,,,
,,Lakiranje nohtov / samostojno,,20,15,Pedikura,Monika Vider,,,,,,
,,Urejanje in striženje nohtov,,20,20,Pedikura,Monika Vider,,,,,,
,,Zahtevnejša pedikura,,60,39,Pedikura,Monika Vider,,,,,,
,,Pedikura in permanentno lakiranje,,60,50,Pedikura / permanentno lakiranje,Monika Vider,,,,,,
,,Pedikura / utrjevanje z barvno bazo,,50,44,Pedikura / permanentno lakiranje,Monika Vider,,,,,,
,,Pedikura / permanentno francosko lakiranje,,60,55,Pedikura / permanentno lakiranje,Monika Vider,,,,,,
,,Samostojno / barvno lakiranje,,20,30,Pedikura / permanentno lakiranje,Monika Vider,,,,,,
,,Samostojno / francosko lakiranje,,30,30,Pedikura / permanentno lakiranje,Monika Vider,,,,,,
,,Samostojno odstranjevanje permanentnega laka,,15,12,Pedikura / permanentno lakiranje,Monika Vider,,,,,,
,,Brazzcare pedikura,,45,30,Brazzcare Pedikura,Monika Vider,,,,,,
,,Brazzcare pedikura s kl. lakiranjem,,55,40,Brazzcare Pedikura,Monika Vider,,,,,,
,,Brazccare pedikura s permanenetnim lakiranjem,,60,50,Brazzcare Pedikura,Monika Vider,,,,,,
,,Nohtna protetika 1 noht,,25,40,Nohtna protetika,Monika Vider,,,,,,
,,Refil protetika 1 noht,,20,30,Nohtna protetika,Monika Vider,,,,,,
,,Dodatno delo,,10,2,Nohtna protetika,,,,,,,
,,Mezoterapija obraz,,60,120,Mezoterapija,Monika Vider,,,,,,
,,Mezoterapija obraz in vrat,,70,135,Mezoterapija,Monika Vider,,,,,,
,,Mezoterapija dekolte,,30,100,Mezoterapija,Monika Vider,,,,,,
,,"Mezoterapija obraz, vrat, dekolte",,90,200,Mezoterapija,Monika Vider,,,,,,
,,Nanoneedling obraz,,60,100,Mikroneedling,Monika Vider,,,,,,
